AAA,ACA,ACB,AHN,AI,AT,AUD,AVP,AVPV,BAC,BLA,BMA,BST,CA1,CA2,CA3,CEA,CL,CLA,CLI,CM,CP,CS,CUN,DG,DMH,DN,DR,ECT,ENT,EP,EW,FC,FN,FS,GPe,GPi,GU,HEM,IA,IC,IF,IG,ILA,IP,IPN,LA,LC,LD,LH,LHA,LPO,LS,MA,MA3,MBO,MD,ME,MEA,MEPO,MEV,MH,MO,MPN,MPO,MRN,MS,MY-mot,MY-sat,MY-sen,NB,NDB,OLF,ORB,OT,OV,P-mot,P-sat,P-sen,PA,PAG,PAR,PB,PBG,PCN,PD,PERI,PF,PH,PL,PMd,PMv,PN,POST,PP,PPN,PR,PRE,PRT,PS,PST,PSTN,PTLp,PVT,PVZ,PeF,ProS,RCH,RE,RH,RL,RN,RR,RSP,RT,SAG,SBPV,SCH,SCm,SCs,SF,SFO,SH,SI,SNc,SNr,SPA,SPF,SS,STN,SUB,TEa,TRS,TU,VAL,VERM,VIS,VISC,VLPO,VM,VMH,VMPO,VP,VTA,VTN,VeCB,ZI
10136.0298225,20964.93188,10279.0316115,13661.44097,14864.770550000001,1346.6480305,30971.307784999997,11273.694556999999,6216.447625,9687.2427985,13156.85814,12800.624385,8472.997092,11348.295001999999,6187.1199185000005,7084.864160499999,8887.2808745,13032.385595,27239.755295,2714.7905525,12731.96722,5612.2817315,3525.5221279999996,7206.5309465,3398.740471,18384.778495,116.06478898,7601.144765,21234.712115000002,15591.88171,20553.85056,15327.48761,3511.4329445000003,772.4666570500001,8163.538404500001,1966.3075469999999,1237.1667648,17130.22247,789.4364107,12703.117435,8059.280889,7537.7275935,1715.91138685,18589.167085,673.2687634,1981.9141475000001,9943.478541,621.3090391999999,2601.8943209999998,8203.643023,6283.959198500001,6718.8233525,16724.53977,3356.936756,4430.148106500001,6161.397451000001,10778.1632325,1830.6214092999999,8558.1571,6940.3810075,4558.1800745,3626.41195,12637.288175000002,11432.644892,12228.3184945,5116.8140715,6920.027205,957.63250905,298.77343725000003,310.96892715,14050.31573,2611.455776,10596.584994,27966.7277,6577.9330525000005,1363.756056,1845.661248,2247.499205,2166.5595665,12742.016515,11747.44679,13005.883341499999,4020.668699,3491.085919,6770.817532,11017.955741000002,14349.378854999999,8450.8860255,16445.645194999997,19460.8421,11247.562975,6436.8638195,2532.0079005,20850.23391,9913.51432,3958.891901,10969.293365000001,10822.455846,12694.125834999999,19026.63801,7100.835744,9673.7253975,30935.49409,20114.60861,9880.497802000002,10332.875941,13079.008285,5891.1965875000005,7418.309422,9003.917244,10882.120116,1767.16257,3819.066414,23806.78174,2229.845085,4870.612245,19433.643315,9413.7931035,12121.29646,14362.981899999999,6120.8734,1422.841027,4685.7973335,5576.047743,2679.3498405,1126.4776141,13321.435580000001,14884.042710000002,20090.19575,1223.27955315,12042.5794425,26750.8554,10031.845779,3295.573217,4097.5178325,1619.234235,29523.083265,16573.548035,3568.784786,3938.6278140000004,3832.4407665,10440.7596035,6276.687755499999,2341.1011005,1080.4810361,4618.3020945,8020.116351500001
4852.3518295,23246.054865,10201.277130499999,8362.3334745,9863.139019,1485.59352,26423.260564999997,13633.23111,6555.0692375,8599.176954999999,6394.88467,7089.924912500001,10218.5524195,8609.59903,4109.4804395,5674.448249,3442.9862125,7460.705485,24069.82155,4493.8792895,6770.4187045,5269.684043,3323.0576414999996,4637.854384,3587.1587835,12375.134005,124.980081285,10669.296620000001,14098.2777805,17467.185605,14344.444165,15320.62524,1887.11880765,207.61979205,4658.553846,875.2409643999999,330.6726666,10658.2286265,1082.95054905,8234.945028,11798.606415,4309.273112499999,1586.405626,15864.021935,385.3883266,1854.1302464999999,5011.715949,10438.198617,2434.24434,5367.200261,3919.6363284999998,6773.025472,18484.635575,3450.3696904999997,4663.743761,4854.4357955,4433.516009,241.18008755,6205.7077095,12578.93644,6113.135187,3049.3959375,13911.06443,11481.11758,14667.726255000001,3381.051576,11808.631451500001,928.75582045,508.71218035000004,1576.6543419999998,9468.1454595,4510.829218,10487.439805,28850.336495,6563.5666345,3153.7370095,1657.643235,2417.417361,2632.0735784999997,8505.640032,10232.259054,11697.468874999999,4941.3208145,916.6858464,3587.127209,9651.2905235,9507.6222205,2601.880108,9701.8656395,21446.574615,4728.354502,5394.822509,1365.799955,19925.281300000002,4481.756539,3135.5264265,7319.7637395,15503.635185,7724.31446,23888.027265,3194.0590844999997,3464.3658075000003,30594.95631,16293.454025,5006.2880079999995,5952.7302595,12292.691985,4942.6016325,5290.8708615,7148.1422585,5265.715453,1041.7472718,5433.636596,24169.99339,1479.303138,4308.0725625000005,13325.87471,9199.8826255,9032.341078000001,15508.563730000002,8682.484805,1499.8039443,7072.9881905,4553.084953,1590.6707025,809.36545985,8951.7771295,6602.923914999999,13197.121085,646.9001896,13564.35168,19909.51437,9859.6035595,3484.7654970000003,2289.026232,477.45304655,30713.92338,5319.0322025000005,4650.6619395,2381.2218545,3251.2938715,10888.4826655,2821.2696214999996,2034.7184444999998,5934.1065965,46.96398787,4281.717745
4713.7494285,21157.004265,9253.809515,14693.367194999999,9139.104539,2367.7146655,15977.76077,9796.9590305,2055.62929,7012.345679,9619.459313,9859.0601255,9048.8497095,8092.2901675,3913.250354,5802.9211335,5774.429493,10905.17864,22127.786005,6764.2007045,12272.20185,4533.8918025,5486.4195254999995,3354.9111144999997,2650.682121,16908.380005,104.15006772,12248.368575,10624.372631999999,11935.094845,14257.57598,25313.762865,3043.186557,121.749072875,4560.241648,1140.88917715,762.90474845,11589.2363605,922.7538861,10129.66188,8940.805812499999,8475.8221595,952.67898815,15147.70121,327.347916,3243.309128,9526.071981000001,14226.01279,2332.8936505,7072.9234545,7219.055931999999,7503.995512,14329.068275000001,2356.3036815,3510.5650084999997,4706.1807284999995,7862.883817,112.60271420499998,7713.594679,5837.559881,9836.659982500001,4354.1577625,8786.478844,12064.153892,11773.247905,4010.108973,11124.6288245,1163.98196655,1705.8229965,2111.471755,7363.5091995,3421.1637140000003,8464.118155,19374.233835,4395.8058425,1145.326022,2751.770971,3500.8785165,3299.670139,9921.7649895,10773.709875,9652.791865,6316.593195,292.11197730000004,5645.9699335000005,6374.4474875,6508.215708,3108.7020199999997,18387.375065,15091.210645,9304.470756499999,7657.9378825,2132.176278,19115.569295,4347.5323515,3627.5497735,16309.1897,11072.881055,6859.1912205,15760.132565,7466.519264999999,7992.0041065,22327.81661,24134.373195,7469.4726475,13035.559225,11517.96112,1782.0989205,11374.20213,10171.6817735,6848.280988,1636.694788,5823.37978,21019.86537,1807.5062095,4224.30839,13794.49596,2330.7567885,9472.689935999999,12194.460745,6337.8791935,1499.8039443,5462.017964,4109.8252725,2260.009375,958.58089175,13903.545525,9600.420855,12473.634524500001,1246.81094245,12507.49407,14590.28803,8716.6657065,2443.430434,2520.6309435000003,982.84104855,25396.167914999998,6224.3681875,1567.3405545,5241.1926920000005,4237.9735745,7359.33131,1775.8932384999998,2902.3921195,8496.406461,82.16759352,6072.6563344999995
8.0907712365,9026.5836,457.42892005,626.08265435,1838.9455349999998,9514.2549225,6549.176945,629.6674949999999,418.1653371,928.3950619,6431.935781,3943.972177,1169.71759405,4126.8115155,3993.307512,2289.9007125,5809.255575,3878.451184,2465.4705705,11396.565804999998,3590.5243,3000.388693,7221.999936,2273.637347,1792.6895525,182.8788985,618.8716702500001,1438.177141,3513.934553,3455.6711405,4192.139654,12208.158599999999,951.7435472999999,3886.4736623,164.48551915,1569.6507735,2123.4545995,2081.529702,2038.254241,5462.0459375,3457.8748555,2237.5158785000003,7719.772074999999,163.6303813,1065.6219395,8072.280946999999,5717.5664145,2467.6616915,3635.016372,9614.050405499998,615.9819203,1250.507085,5636.1035785,148.12628955,6136.118603,5183.9849195,4651.7396995,0.0,2091.592466,1362.2835961,5984.833958,6165.9544085,6354.605572,585.18885605,781.0578732500001,2813.595431,2184.3918775,5134.0550375,5800.233235,6325.8902595,707.531837,530.9967149500001,985.2641810499999,85.70611117,102.90818597500001,0.0,6814.5327805,5660.4610625000005,1599.4172705,6314.5831015,3826.5671145,1315.732884,1062.25664835,337.74955589999996,1115.4303875,171.12299465,2064.299392,1880.3636007,4270.8913250000005,387.36587199999997,971.34632305,5.11018844,2327.1055269999997,2963.8814734999996,0.0,1814.755525,1069.13958875,1375.5867725,2108.8156065000003,715.0574893,156.88630669999998,1407.0732381,6591.71148,5741.3249035,521.0208528000001,652.43576545,2965.073296,385.6112251,1233.479323,3824.0907405,9871.785411,3465.696589,1397.1039996,8515.1939965,2954.0730445,203.8095238,721.4602706999999,711.83492945,4265.777469000001,6595.656702,6594.550111500001,9003.2522175,429.00149780000004,357.35672255,1906.6116215000002,1202.7911654,8077.2649805,3203.4829625,13458.00014,169.50511565,2200.1490745,2804.7630814999998,6394.5718575,53.49892753,1706.8327765,3589.013713,2651.507548,4604.440408,833.9420482999999,1676.943078,751.1216994499999,259.1655891,3031.851707,2200.770911,5454.7783395,1701.3396014999998,842.9761062
3096.3400435000003,18870.856125,9220.027324499999,7317.159641,10739.9481965,1973.5446175,18167.850795,8146.8351445,5004.506615,2375.308642,8099.360838,7821.7654985,7092.8740575,7636.299585000001,4862.4244475,4942.9221,4304.6614155,5169.163429,21511.6841,4163.7868770000005,6016.7079135,4870.0024775,3107.7838475,6163.806442499999,1824.4631565,14295.8632,101.16225800000001,14639.182219999999,9445.1806345,12164.820606500001,14924.303520000001,7049.9428135,2322.3738943500002,207.5458289,4434.0478985,1532.655268,363.69357219999995,11818.3322095,431.7385601,9552.918159500001,8749.5468515,3638.10868,678.83797655,12559.174445,204.30224545,1221.2169712,10806.154875,15831.491890000001,2016.270164,4834.636012000001,3264.297262,5225.873067500001,16251.699035000001,3159.443265,1399.08760925,3590.6459165,4995.342135999999,284.21477595,8006.545042,4601.0512455,7179.9877975,2717.8348805,11444.676265,10190.061491,9812.390728999999,3557.6264765,5906.248409,583.7603393500001,564.6429995,975.38792835,1140.16619245,2391.437191,9764.1504955,14456.112545,5818.750381,1483.606243,1560.2091295,2597.1024884999997,2295.563925,10876.232680000001,9724.925337,8075.105552499999,5788.17525,292.86735791499996,5499.2763075,5078.2719595,5085.630145499999,1943.9018124999998,8625.438977,13753.45278,5494.275845,7295.8223945,821.81135255,16608.847999999998,1136.2526182,3043.421056,7286.5657790000005,10496.789186,6383.0261494999995,15194.015995,3203.672216,3858.0230335,21539.41876,15438.16915,7655.1598324999995,5291.5002265,10974.816901999999,4976.930084,5122.3492160000005,3506.968428,2100.3190875,1740.1233056,4181.0869375,16743.32484,976.3706221,3642.7664400000003,16603.053740000003,9916.154935999999,7567.0452295,6991.124318,4187.215942,409.23873729999997,2476.8825415,5195.8125645,1615.897405,789.96253615,5447.619391,5126.333528,11183.748705,179.862058515,11883.8322515,14065.788530000002,5084.55455,3349.3842035,2342.3410905,516.0735451,17587.929295,9997.5505375,2433.330292,1875.9987995000001,4314.481408,9828.4291915,3274.1655419999997,1906.0768105000002,6202.234398,23.48199393,3714.645147
6153.169895,28465.580865,8778.7808835,9529.4718245,7045.648658,2460.1485275,22318.467455,8447.5795475,5255.4698535,4357.2016465,8401.262099,8655.715145999999,9562.844348999999,7555.249417499999,3561.4625405,5941.860966,5260.371732,6790.1747415,14377.552789999998,4964.6394495,4280.7812145,4516.6616875,5274.2325275,4155.0823995,2406.6638795,13942.801785,104.12848911500001,12053.50332,12887.71754,14966.724425,9851.203717,14377.43042,2550.6178165,269.4547288,3426.264228,1089.21501055,897.70467425,6396.749555,415.81904335,8837.6332075,11318.318526,4600.141143000001,1835.1600663499999,16675.91985,265.8250807,1620.3951815,7835.50698,14000.64612,1227.6399208,5069.591335,5572.547171,9515.243832,15919.30522,3779.9336565000003,2132.6703145,4635.4139159999995,3502.798626,1081.68566215,8622.759549,8536.2000325,7463.7845375,2543.5188184999997,13204.336105,8000.678433,12165.770485000001,4638.6423245,6773.859808499999,1084.152373,2238.1966415,1344.6724450000002,5125.55267,4093.3656555000002,8887.313333,18141.73361,4710.094794000001,2956.577316,2510.2869325,3773.398291,2200.158613,9549.2128495,10725.867418500002,9121.166807,3797.2006604999997,515.7675867,1660.0418682,10170.4563555,8110.533588,3681.4031859999996,13716.735925,19714.481505,9767.5733055,4781.9326375,771.03908295,23680.639315,2409.345686,3707.3250385,6461.684664,14960.21877,8090.737568999999,20922.910519999998,5845.1685,7201.7206575,30648.133504999998,12304.53802,8581.359179,9318.400664,11361.011224999998,4580.955093,3684.6277585,2726.3970600000002,5207.7995415000005,2338.0340690000003,6401.152221,18898.97846,957.63446025,3645.6689345,10278.2099805,10076.702311000001,11798.839475,11986.5969,4408.5349385,501.96999404999997,6216.5670585,5097.2819225,1428.7023165,773.82589965,6288.319853,7515.297279,19513.50084,857.10377235,10991.37799,14936.10743,4182.821683,2944.1101184999998,1221.3977833000001,609.25403305,27126.335155,7098.5074345,2659.61756515,2024.0750285,4145.7040655,6874.416006500001,2430.3353665,1969.23778,6464.100192,23.443223445,4762.761528499999
5976.935302,25799.324535,11050.82242,8722.025526,10399.44344,1253.5405755000002,31851.68486,11823.75302,5701.2117425,3181.8930044999997,11464.693521,11204.17009,8822.832785999999,8240.5689085,4268.700285,6675.893938,5036.823458999999,10870.72989,20516.89829,5951.657246999999,10298.1952005,5141.667482,3597.9490594999997,4137.037081,2459.129889,16334.771325000002,65.461251425,5121.648257,20868.08295,16773.11264,16799.71195,18667.17499,1275.7649523,205.59763455,5289.409443500001,768.9529295499999,455.8953794,12532.75071,502.05234715,13151.101805,7557.3711985,6843.98024,1172.2860877,15914.283230000001,224.0359851,2627.8545655,8990.3324025,19192.34994,3918.820613,7683.762247000001,6771.071982,9038.2366015,18876.056920000003,5165.0133155,2627.803122,7152.167814,8004.051665,519.97888265,8676.284554,9033.0581785,5357.970888,3714.3875045,11717.793975,8285.921042,10674.436747,3557.207945,10865.642789000001,476.49548144999994,607.74571745,950.4902111,9634.1474155,7223.8738135,9771.4135265,22346.271385,5863.3076679999995,1984.2773324999998,1786.381578,2335.2501615,2001.5391585,12206.339755,8754.2760725,9598.556848,3101.842407,987.9119431500001,4865.509217000001,8527.397359499999,13959.207815,3512.2372824999998,14549.02232,15115.13863,14320.75717,8133.3517785,2594.4370689999996,13019.563825000001,6960.4828495,2205.739723,8454.67444,13496.124165000001,7647.8765889999995,24181.28703,5010.7486825,8446.215265,18934.460315,18691.740375,8373.109827,10037.950112499999,12827.397985,6812.0750275,6178.633254,10936.8300905,7943.601881500001,1678.4242735,4275.5661185,14930.334354999999,1711.4671174999999,7557.9138325,11039.81336,9779.0755925,7801.0917805,7958.8167935,8262.0667325,460.43551655,11209.404182,5391.296719,2016.5343329999998,930.1573276,10831.116072,10561.636312499999,12252.337185,1529.7479865,10774.2776115,26940.18897,11232.0196375,6484.644953499999,3249.3401459999995,616.1112774000001,23557.36615,10746.3542595,5711.8088955,3307.731312,5234.085508,9252.8935145,4138.8629865,3512.834318,5041.4858035,58.646829095,6006.0996415
6690.889967,20218.319855,9053.9016915,5190.344144999999,10242.043252,1602.8829802,25213.49201,8795.4086375,4366.7948845,2378.6008229999998,8315.6326995,7600.969375000001,6264.066570999999,7480.623856,3518.4396895,4841.30173,3601.2006144999996,6026.410565,28627.120585,3897.024582,2460.383311,4877.9989425,4353.324635,3654.1348445,1910.7047595,7507.608168000001,44.621278515,9744.0986205,16354.412135,14856.02895,17712.730355,10519.252766,146.09846034999998,37.925165539999995,5119.7357465,1159.446378,734.57049005,11213.91158,666.7347645,8971.7102805,7471.1670445,3524.7424135,1165.95023695,15076.501335,171.79961550000002,1650.313443,7136.420959499999,3378.432513,2374.461491,4458.547949,4433.86061,5639.090141000001,14534.123220000001,5332.799871499999,1718.6388875,3096.118376,2954.8021305,12.30769231,6143.679017,4736.7553025,1475.464133,1395.55055175,8281.1521875,6854.648731,8916.4136685,3250.153502,7635.419814,363.746306,992.7022612,880.52030815,7885.7728855,4243.617676,10055.4644275,26746.432549999998,6811.033655499999,916.2608173,1509.5337805499998,2384.658805,1019.5724009,7016.0639305,8069.208780499999,11095.2572555,1564.0288839999998,135.4019746,1791.0339115000002,3789.0526499999996,9557.1399955,3223.1756905,6982.2852855,19624.209025,7247.969303,3545.192006,1169.705015585,19855.566404999998,3799.7400294999998,2326.0076955,4659.5613825,12755.040291,7110.7062285,12720.79393,5417.3841465000005,4443.53637,23622.52313,8349.6888885,3014.577314,5970.9280364999995,10407.015807,2818.175872,2773.9550090000002,2058.85267,4749.0434875,1275.88372575,2849.6271495,15126.659365,1135.8622986,1433.01587285,5072.23283,4208.0416829999995,8996.0910205,12046.006167,5571.4134195,562.82907495,6335.36504,5886.291959,1848.5403660000002,733.1078456,4031.9285569999997,6132.176507,11124.750349,1068.209715,13120.122845,21924.446015,5922.381071,1883.69795,1036.58686655,634.2934649,26573.79379,8509.184583999999,2687.2300215,1764.461169,1639.9398025,5720.363304500001,2049.9867045,1889.730062,6462.3923715,46.96398787,4439.475262
3030.467066,13450.43047,3944.9328665000003,9148.646908,5718.087168,742.2494656,22142.516434999998,7072.2254845,1649.4216955000002,6623.868313,5465.9141805,6545.7483645,5753.8026305,6047.8553285,2652.9206935,3350.6585205,3787.0650185,2546.850974,11023.970012,3948.663815,3757.0037220000004,3252.4903245,1576.0211945,3603.7654905,1515.4146065,8971.134376,56.521060739999996,4101.376054,8939.596027,11072.35817,8635.510708,17797.94129,291.58886185,105.82931413,2379.148638,967.9232699,276.32481535,4862.597108,478.51591605,7720.8799275,7158.4839785,2544.1919545,245.075885045,8505.978509,159.03072515000002,1273.7588645,8135.321725,3095.1734834999997,822.7284563999999,4007.7836225,3437.10848,4934.0195355,11375.05593,1544.347048,1288.979166,1545.04847,2277.7016545,38.145399215,5366.4871155,4652.4059935000005,2936.9824805,1533.025006,5697.3129055,8260.216454000001,9265.8663405,1804.6353195,3025.335691,352.02713295,528.90146065,883.0980925,2701.4729815,1229.41279845,6513.056125,9836.90401,1610.1001505,926.8959877,904.88446015,1854.952448,1538.354954,6020.604971,7428.591794,4898.9858955,3200.92934,89.764396,1247.1965679500001,8253.32232,4809.800677499999,1104.5041005,6810.735288,9532.2230905,4052.1540459999997,1997.2648749999998,456.43234140000004,14021.81475,2238.2951242,3561.0306229999997,7273.010534999999,8187.543729,3241.3023105,13772.15424,2752.2395589999996,3219.0224295,22458.224925000002,13770.255645,4239.806983500001,7984.7093645,9999.2531685,2840.076119,3335.443314,1661.9353015,1952.080476,805.72061955,3052.6365885,14252.369375,704.06212365,2523.446712,13365.10026,4708.256395,6632.85125,6854.077266,3036.5314215,556.3875405,1185.44882925,2426.4385975,867.3658425,240.942552,4438.6631035,3993.0591945,7959.2241875,276.979823825,8918.526646,18068.65939,3066.6341105,2237.3009785000004,1047.8142866,370.04851805,27095.394065,5109.128293,1490.3565825,1472.099459,3158.8886894999996,4604.0991125,1210.76522305,1269.9461805,3335.9425035,11.72161172,2642.9171335
4953.5412805,26579.962815,10163.213456000001,6451.9609390000005,12476.130369999999,1346.479632,30127.499625,7419.465829000001,3507.1918855,4368.7242795,10308.0390845,12780.595545,6882.5108789999995,10650.040837,4757.691122,6628.114014,5494.306229,11064.086505,23250.791965,2737.094822,8306.1588815,6681.6711195,2353.9186615,3803.0516735,3210.9005125,16487.614889999997,133.87213504,6896.1587415,26612.568740000002,20112.546535,17480.2664,12677.087305000001,2518.7933315,77.861531085,3777.1737985,1280.7259608,684.78205425,12713.34219,550.76500665,10655.42541,8886.023837,3896.9089625,1866.329702,20945.994455,219.3927522,1234.2249322,12682.12378,5752.019125499999,3358.7212744999997,5852.8873175,6078.23395,4611.4100515,14857.7232,3702.8610019999996,5402.5358985,4976.516299,7388.252484500001,126.74388993,13206.986250000002,3592.0091899999998,3148.2611349999997,3189.837192,17230.062855,6913.8452195,7462.481655,3735.0262549999998,9573.646028,290.79297815,388.99067845,909.8174529,7568.1738315,4767.39488,10968.08035,35450.66197,6401.929984,1004.20549405,995.99123945,1453.989276,1325.5618690000001,17453.655925,8431.624037000001,16640.74311,2014.2732445,607.5463309500001,4018.9157945,5502.6013365,16021.382570000002,5708.9794565,14975.444705,21628.90894,11672.0255,14007.88935,1699.05773385,27899.49286,4922.282109,2048.5534455,7464.5712619999995,22373.59972,9932.7714725,13552.541959999999,5560.812069,5564.2804775,26999.719940000003,14873.1025,7711.132367,7424.057145,16558.023705,4172.49742,5323.8122404999995,7882.4331725,4614.773672,1355.0520609999999,3443.9893485000002,24792.22812,978.41761815,3388.752834,8315.8584825,8562.982206499999,8539.615729500001,13266.16157,6076.496391000001,143.928036,14452.38342,4981.427787500001,2102.8474895,857.8197012,11566.19286,10974.220535,19093.502375,1191.3805315,17525.11801,29573.836505,6163.3561305,4027.2113360000003,2364.5464549999997,547.24217565,29878.730835000002,13991.896205000001,3369.651151,2259.625412,3248.250075,7317.319229999999,3140.9004939999995,2320.0498374999997,5831.068099,23.48199393,4986.3855275000005
10989.604396499999,27135.85114,14756.098324999999,11120.388644999999,18152.878835,3574.8278125,33763.534345,11781.304685,6581.0364885,7558.8477365,14172.26178,15442.54703,10322.26881,11084.67687,5582.100553,7937.514109,9069.815106,19526.606055,35679.20874,7181.651506,15420.81556,8425.1938765,5594.15693,5633.8106935,3202.790782,21315.212955,324.2553714,13852.709925,25848.846875,20650.80868,25002.153035,23111.704155,1019.9529575500001,187.73242089000001,8459.71731,1771.7317405,1103.0465686,20167.5613,693.7717431,16688.21954,7071.192059,9753.112208999999,1566.2574995,18897.998975000002,371.4586281,4928.0171605,11905.03185,16684.370355,7947.515256999999,7940.881574000001,8065.418733500001,8925.0655365,20908.497505,10067.078857,5226.599181,6263.366083,14262.50323,705.7321201,13967.82073,11228.771335,5150.17868,2799.0977175,18779.607295,12034.073769999999,12682.34166,5950.890637500001,12695.73385,1621.1452405,1655.4223655,2367.8615685,4098.101041,7377.9539075,13194.280920000001,33726.768805,8241.1637125,2738.147282,3310.664064,4095.271267,3138.385249,18042.73211,11262.730755,19253.271355,5940.4299345,358.8057905,10616.058135,9902.178164500001,15985.457435,8405.504773,17936.529275,20868.208305,11049.951315,17717.43272,4320.9532755,21010.58341,5261.5682675,5878.075097,14658.345285,21113.69449,10919.9727285,22966.612370000003,11284.278325,12950.94923,25423.475005,18994.46737,11347.736555,10673.335948,15641.66449,4660.749925,12279.90186,18592.971859999998,10614.733495,3914.129385,7864.0967225,20441.337065,2332.0456955,5723.4920635,16546.811685,11427.727917,9288.644397,10402.1560055,7112.949133,1407.07268755,18019.170215,8716.4061755,3881.9074819999996,2391.9312824999997,10978.760258999999,15124.312355,22194.0883,4406.4407855,15972.726085,28269.617145,8864.9428625,4033.137488,7924.1553745,544.1506883,26944.40589,23290.024845,2307.2806825000002,5555.337271,5375.981879,6039.416604,9019.1896725,4981.5683395,10312.3888125,188.049803915,10561.45218
3762.045599,25190.164044999998,12042.828075000001,9998.4299005,13294.446992500001,1020.72983835,26477.091034999998,12960.379355000001,4693.4316835,5688.888889,11634.82172,12165.720874999999,9615.847796,6594.542082,3477.0132495,4985.864637000001,5866.223255999999,3912.4078103,30440.77702,4004.6938634999997,5320.1800275,6331.0329679999995,2511.0763385,3772.4294495000004,2126.1294765000002,13020.949284999999,101.157278315,5328.2496345,20740.06959,16164.929645,19279.880409999998,19218.452155,390.71066874999997,399.19929285,6297.176854,1269.535535,821.84164455,15406.084015,940.3291461,13436.049589999999,6284.154881500001,4066.7325334999996,633.21904205,16118.071315000001,495.66510685000003,1421.437366,13289.9955,13428.9591,974.1720848,4614.233982,7065.8978255,8952.9068885,16451.37402,3680.600197,3471.494271,3982.812855,2479.13566,62.760783829999994,10477.347321000001,5263.4199444999995,7838.2288855,1570.651217,11064.365725,9353.497001,13862.313335,2703.828647,7397.701740500001,951.45712165,735.61736195,1645.5243215,6168.7853155,4627.507289,11267.032729999999,20691.501080000002,7268.4169985,1145.326022,1771.8834430000002,2072.416247,2350.569753,10415.9874645,6156.5289410000005,14234.50155,4071.167078,268.5378074,1146.53995315,6887.8164715,13451.80236,2480.89407,13949.07476,16171.36067,11771.11481,13036.904615,1602.17595425,16708.066375,2462.2339235,2376.252352,9305.2367415,14331.002670000002,5620.514822499999,20526.215085,8444.943795,6701.9909275,16549.53077,14995.432540000002,6556.561051,10167.2505685,11920.301265,1766.81061,6403.5129215,3885.138425,6245.1330985,610.4003066,2895.4837145,14153.744299999998,1206.5109992,4081.1791381000003,7960.0862815,3559.4251440999997,4490.2915885,3827.951354,4987.6201825,636.2357283,3460.9600924999995,6646.659292,1811.7303907,726.0679959,9569.604954,8266.3858455,15005.308555,1561.2514529999999,11442.882013999999,22448.34598,4343.3371475,2938.131956,1643.7728511,616.7111079,23004.406750000002,14906.578685,1538.2751772,2926.6972285,3282.6166620000004,1971.5739897,2004.97471705,1749.3687624999998,2460.969188,82.28390497,5427.761657
